id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509402756356128768,1509402756356128768,2022-03-30 22:30:35 Pacific Daylight Time,2022-03-30,22:30:35,-0700,51953810,wonaw,Alex Shrestha,,My Design Works in Progress for Dhulikhel Lodge  #Architecture #Habitat #SustainableDesign #SustainableArchitecture #GreenDesign #DesignWithNature #EcoFriendly #Wonaw #WonawAndAssociates #WonawAssociates #SONA #Dhulikhel #Lodge  https://t.co/cpL8uqKpC1,en,[],[],"['https://pbs.twimg.com/media/FPJ5tU3aQAcix4q.jpg', 'https://pbs.twimg.com/media/FPJ5ypGaAAIuFbU.jpg', 'https://pbs.twimg.com/media/FPJ5yp1acAIqDtV.jpg', 'https://pbs.twimg.com/media/FPJ5yqIaMAAJlm8.jpg']",0,0,2,"['architecture', 'habitat', 'sustainabledesign', 'sustainablearchitecture', 'greendesign', 'designwithnature', 'ecofriendly', 'wonaw', 'wonawandassociates', 'wonawassociates', 'sona', 'dhulikhel', 'lodge']",[],https://twitter.com/wonaw/status/1509402756356128768,False,,1,https://pbs.twimg.com/media/FPJ5tU3aQAcix4q.jpg,,,,,,,[],,,,
1509402464218402816,1509402464218402816,2022-03-30 22:29:25 Pacific Daylight Time,2022-03-30,22:29:25,-0700,762020443373133826,libertysoap,libertybathandbody,,"Shaving Soap, Rosemary Mint Tobacco Bay Unscented Shave and a Haircut Bay Rum Men,Women Shaving Grooming Close Shave Rich Creamy Thick Foamy  https://t.co/mtVak3fawo #facialcare #ecofriendly #skincare #Mensgrooming #coldprocesssoap ##WashYourHands #Thick  https://t.co/pZBb4ZRrlN",en,[],['https://tuppu.net/fa00a180'],"['https://pbs.twimg.com/media/FPJ5iKkXoAgyVH_.jpg', 'https://pbs.twimg.com/media/FPJ5iZcWYAUzdHB.jpg', 'https://pbs.twimg.com/media/FPJ5ijqXsAQv9px.jpg', 'https://pbs.twimg.com/media/FPJ5itbWUAIcQ3U.jpg']",0,5,4,"['facialcare', 'ecofriendly', 'skincare', 'mensgrooming', 'coldprocesssoap', 'washyourhands', 'thick']",[],https://twitter.com/libertysoap/status/1509402464218402816,False,,1,https://pbs.twimg.com/media/FPJ5iKkXoAgyVH_.jpg,,,,,,,[],,,,
1509401657884708865,1509401657884708865,2022-03-30 22:26:13 Pacific Daylight Time,2022-03-30,22:26:13,-0700,1417442208412667906,corporaterolux,Rolux Corporate,,#roluxelectricvehicles #roluxev  #ecofriendly   #roluxelectricbike #greenerymision #roluxspeedx  https://t.co/AKNF9RRCk4  https://t.co/BtjAduvZNh  https://t.co/mrJ27CX9Qp  https://t.co/sPYzUiSK4s  https://t.co/oSllpiBE1M #contact for trade inquires &amp; dealerships @8946022436  https://t.co/Lh69Ub5Tid,en,[],"['https://facebook.com/roluxev', 'https://instagram.com/rolux_corporate/', 'https://linkedin.com/in/roluxcorporate/', 'https://youtu.be/M5cLDnF60cs', 'https://roluxinnovative.com']",['https://pbs.twimg.com/media/FPJ4i7oakAEkIww.jpg'],0,0,2,"['roluxelectricvehicles', 'roluxev', 'ecofriendly', 'roluxelectricbike', 'greenerymision', 'roluxspeedx', 'contact']",[],https://twitter.com/CorporateRolux/status/1509401657884708865,False,,1,https://pbs.twimg.com/media/FPJ4i7oakAEkIww.jpg,,,,,,,[],,,,
1509401620681007107,1509401620681007107,2022-03-30 22:26:04 Pacific Daylight Time,2022-03-30,22:26:04,-0700,3137374093,bombaybags,Bombay Bags,,40 Pics That Show Climate Change Is No Joke. https://t.co/9wHF1hK6HY #climatechange #environment #sustainability #nature #globalwarming #savetheplanet #climate #climatecrisis #ecofriendly #climateaction #zerowaste  https://t.co/OZiS2jPBqG,en,[],['https://buff.ly/3tOQBAt'],"['https://pbs.twimg.com/media/FPJ4xjMWQAASa-A.jpg', 'https://pbs.twimg.com/media/FPJ4xjiWUAMbKv3.jpg']",0,2,3,"['climatechange', 'environment', 'sustainability', 'nature', 'globalwarming', 'savetheplanet', 'climate', 'climatecrisis', 'ecofriendly', 'climateaction', 'zerowaste']",[],https://twitter.com/bombaybags/status/1509401620681007107,False,,1,https://pbs.twimg.com/media/FPJ4xjMWQAASa-A.jpg,,,,,,,[],,,,
1509397951491178498,1509397939776475138,2022-03-30 22:11:29 Pacific Daylight Time,2022-03-30,22:11:29,-0700,1423275192839639047,13_sqft,13SQFT,,…#ecofriendly #electricmotorcycle,und,[],[],[],0,0,0,"['ecofriendly', 'electricmotorcycle']",[],https://twitter.com/13_sqft/status/1509397951491178498,False,,0,,,,,,,,[],,,,
1509395790778744836,1509395790778744836,2022-03-30 22:02:54 Pacific Daylight Time,2022-03-30,22:02:54,-0700,1493744544420007936,fiskeratiblog,Fiskerati,,Highlights from Henrik #Fisker @ Citi’s 2022 Global Industrial Tech &amp; Mobility Conference  https://t.co/eN9IiWNkfH #goelectric #fiskerocean #evs #ecofriendly #esg #climatechange #innovation #cleanenergy #electricvehicles,en,[],['https://fiskerati.com/fsr/highlights-from-fisker-citis-2022-global-industrial-tech-mobility-conference/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost'],[],0,0,4,"['fisker', 'goelectric', 'fiskerocean', 'evs', 'ecofriendly', 'esg', 'climatechange', 'innovation', 'cleanenergy', 'electricvehicles']",[],https://twitter.com/fiskeratiblog/status/1509395790778744836,False,,0,,,,,,,,[],,,,
1509395128363978757,1509395128363978757,2022-03-30 22:00:16 Pacific Daylight Time,2022-03-30,22:00:16,-0700,1352937729764564993,sewnupbyjen,SewnUpByJen 🇺🇦 ♻️🌿,,Soft bamboo terry towelling facecloths backed with a colourful cotton print. These are both hypoallergenic &amp; naturally antibacterial making them ideal for those with dry or sensitive skin. #MHHSBD #bamboo #facecloth #ecofriendly  https://t.co/QLUhUqWosq  https://t.co/4Sa0kTUGSQ,en,[],['https://www.sewnupbyjen.co.uk/collections/face-cloths'],['https://pbs.twimg.com/media/FPJy3tJXIAEhfQX.jpg'],0,12,10,"['mhhsbd', 'bamboo', 'facecloth', 'ecofriendly']",[],https://twitter.com/sewnupbyjen/status/1509395128363978757,False,,1,https://pbs.twimg.com/media/FPJy3tJXIAEhfQX.jpg,,,,,,,[],,,,
1509395085233995778,1509395085233995778,2022-03-30 22:00:06 Pacific Daylight Time,2022-03-30,22:00:06,-0700,3488084120,liftango,Liftango,,"AT Local, powered by Liftango, is a new #OnDemandTransport service in #SouthAuckland. We're happy to be partnering with Auckland Transport to provide this equitable, #EcoFriendly transport option.  https://t.co/4hHnhQ79KG",en,[],['https://bit.ly/3NueGUV'],[],0,0,1,"['ondemandtransport', 'southauckland', 'ecofriendly']",[],https://twitter.com/liftango/status/1509395085233995778,False,,0,,,,,,,,[],,,,
1509387659499737091,1509387659499737091,2022-03-30 21:30:35 Pacific Daylight Time,2022-03-30,21:30:35,-0700,1270016663472214020,sustainables20,sustainableshopping,,Friendly. Fun-loving. Spontaneous.  Link:  https://t.co/W41zxvM3Ah  #sustainableshopping #organic #biodegradable #sustainable #ecofriendly #ecoproducts #zerowaste #plasticfree #gogreen #environmentallyfriendly #furniture #homedecor #woodwork #wood  https://t.co/yL12ywxOLu,en,[],['https://fablewood.net/en/collections/all-animals-and-all-sets/products/little-ostrich'],['https://pbs.twimg.com/media/FPJr9UyXIAAGDnc.jpg'],0,0,0,"['sustainableshopping', 'organic', 'biodegradable', 'sustainable', 'ecofriendly', 'ecoproducts', 'zerowaste', 'plasticfree', 'gogreen', 'environmentallyfriendly', 'furniture', 'homedecor', 'woodwork', 'wood']",[],https://twitter.com/SustainableS20/status/1509387659499737091,False,,1,https://pbs.twimg.com/media/FPJr9UyXIAAGDnc.jpg,,,,,,,[],,,,
1509383003285307396,1509383003285307396,2022-03-30 21:12:05 Pacific Daylight Time,2022-03-30,21:12:05,-0700,1406089010263597063,newengl27684295,Sustainability,,"2024 Rolls-Royce Spectre, 2024 Lotus Eletre, 2023 Porsche Macan T: Car News Headlines #EcoFriendly #Sustainability #OurPlanet #OnePlanet #Environment [Video]  https://t.co/85wzY88v05",en,[],['http://dlvr.it/SMhD40'],[],0,0,0,"['ecofriendly', 'sustainability', 'ourplanet', 'oneplanet', 'environment']",[],https://twitter.com/NewEngl27684295/status/1509383003285307396,False,,0,,,,,,,,[],,,,
1509382249263042560,1509382249263042560,2022-03-30 21:09:05 Pacific Daylight Time,2022-03-30,21:09:05,-0700,978219066023403521,tbihindi,द बेटर इंडिया (The Better India - Hindi),,"पुनीत दत्ता का अनोखा स्टार्टअप Attaware Cutlery, जो गेंहू, बाजरा, जुवार और गुड़ जैसी चीज़ों से कप, प्लेट और चम्मच बनाता है। इसे इस्तेमाल करने के बाद खाया भी जा सकते है।  #Attaware #cutlery #edible #ecofriendly  https://t.co/Wvc68lVyIm",hi,[],[],[],0,7,17,"['attaware', 'cutlery', 'edible', 'ecofriendly']",[],https://twitter.com/TbiHindi/status/1509382249263042560,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1509380337838997507/pu/img/O5cZBeWj17LUe13O.jpg,,,,,,,[],,,,
1509380619641364481,1509380619641364481,2022-03-30 21:02:37 Pacific Daylight Time,2022-03-30,21:02:37,-0700,65588577,meenukhare,Meenu Khare,,#SavetheTree #Ecofriendly #HaikuSeed  https://t.co/0OBdh1fV7h,und,[],[],['https://pbs.twimg.com/media/FPJlqzgVcAAt7M1.jpg'],0,5,5,"['savethetree', 'ecofriendly', 'haikuseed']",[],https://twitter.com/meenukhare/status/1509380619641364481,False,,1,https://pbs.twimg.com/media/FPJlqzgVcAAt7M1.jpg,,,,,,,[],,,,
